task,seed,family,candidate_count,contains_exact_gt,sufficient_candidate_count
linear_control,51966,mlp_uniform,7,True,6
linear_control,51966,mlp_cost_weighted,7,True,6
linear_control,51966,logistic_cost_weighted,8,True,7
linear_control,51967,mlp_uniform,7,False,6
linear_control,51967,mlp_cost_weighted,7,True,6
linear_control,51967,logistic_cost_weighted,8,True,7
linear_control,51968,mlp_uniform,7,True,6
linear_control,51968,mlp_cost_weighted,7,True,6
linear_control,51968,logistic_cost_weighted,8,True,7
nonlinear_interaction,51966,mlp_uniform,7,False,6
nonlinear_interaction,51966,mlp_cost_weighted,7,True,6
nonlinear_interaction,51966,logistic_cost_weighted,8,False,5
nonlinear_interaction,51967,mlp_uniform,7,False,6
nonlinear_interaction,51967,mlp_cost_weighted,7,False,6
nonlinear_interaction,51967,logistic_cost_weighted,8,False,4
nonlinear_interaction,51968,mlp_uniform,7,True,6
nonlinear_interaction,51968,mlp_cost_weighted,7,True,6
nonlinear_interaction,51968,logistic_cost_weighted,8,False,5
