task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
linear_control,51966,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.17826020599591208,0.0020776020504180465,False,1500,0,0.9416109718513129,0.807209459811429,0.7926065688414866,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.690905552855632,9.993707723689033e-05,True,1106,0,0.6938008796588183,0.4987932142174993,0.5014141111582663,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51966,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.21327803436721615,0.0007020960025081908,False,1500,1500,0.9307807717876139,0.8020524040214617,0.7867571909919245,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.27724425047544976,0.0018864324078402424,False,1500,1500,0.8775149233263176,0.8036846034970744,0.7822334770455903,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4360682479718535,0.003280732021054287,False,1500,1500,0.6604320257146753,0.8109426820162873,0.7873438731030244,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.5084329899898969,0.006923740623179923,False,1500,1500,0.445871942096712,0.8721327985275478,0.8592375976574503,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5433216440808082,0.00372891766967388,False,1500,1500,0.45243670793357454,0.8742511850810022,0.8602483589432716,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
linear_control,51966,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.221178756785111,0.0016640680017836508,False,1500,1500,0.9211184575295278,0.8029379590561025,0.7871441172287794,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.2920142906623853,0.000918165387087089,False,1500,1500,0.8306936895375079,0.8107169523015748,0.7936711484901323,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51966,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.415239477159539,0.006425154274189489,False,1500,1500,0.6449228064875534,0.8084596551544513,0.7950985572746136,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
