task,method,legacy_alpha,repeats,exact_gt_count,exact_gt_rate,sufficient_count,mean_missing_groups,mean_extra_groups,mean_cost,mean_unnecessary_spend,mean_excess_cost_among_sufficient
linear_control,logistic_all,,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
linear_control,logistic_cost_weighted,0.0,3,0,0.0,3,0.0,3.0,231.66666666666666,201.66666666666666,201.66666666666666
linear_control,logistic_cost_weighted,0.0005,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,logistic_cost_weighted,0.001,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,logistic_cost_weighted,0.003,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,logistic_cost_weighted,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
linear_control,logistic_free,,3,0,0.0,0,2.0,0.0,0.0,0.0,
linear_control,mlp_all,,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
linear_control,mlp_cost_weighted,0.0,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,mlp_cost_weighted,0.0005,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,mlp_cost_weighted,0.001,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,mlp_cost_weighted,0.003,3,3,1.0,3,0.0,0.0,30.0,0.0,0.0
linear_control,mlp_cost_weighted,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
linear_control,mlp_free,,3,0,0.0,0,2.0,0.0,0.0,0.0,
linear_control,mlp_uniform,0.0,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
linear_control,mlp_uniform,0.0005,3,2,0.6666666666666666,3,0.0,0.3333333333333333,50.0,20.0,20.0
linear_control,mlp_uniform,0.001,3,2,0.6666666666666666,3,0.0,0.3333333333333333,50.0,20.0,20.0
linear_control,mlp_uniform,0.003,3,2,0.6666666666666666,2,0.6666666666666666,0.0,20.0,0.0,0.0
linear_control,mlp_uniform,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_all,,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
nonlinear_interaction,logistic_cost_weighted,0.0,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_cost_weighted,0.0005,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_cost_weighted,0.001,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_cost_weighted,0.003,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_cost_weighted,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,logistic_free,,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,mlp_all,,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
nonlinear_interaction,mlp_cost_weighted,0.0,3,2,0.6666666666666666,3,0.0,0.3333333333333333,41.666666666666664,11.666666666666666,11.666666666666666
nonlinear_interaction,mlp_cost_weighted,0.0005,3,2,0.6666666666666666,3,0.0,0.3333333333333333,41.666666666666664,11.666666666666666,11.666666666666666
nonlinear_interaction,mlp_cost_weighted,0.001,3,2,0.6666666666666666,3,0.0,0.3333333333333333,41.666666666666664,11.666666666666666,11.666666666666666
nonlinear_interaction,mlp_cost_weighted,0.003,3,2,0.6666666666666666,3,0.0,0.3333333333333333,41.666666666666664,11.666666666666666,11.666666666666666
nonlinear_interaction,mlp_cost_weighted,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,mlp_free,,3,0,0.0,0,2.0,0.0,0.0,0.0,
nonlinear_interaction,mlp_uniform,0.0,3,0,0.0,3,0.0,4.0,355.0,325.0,325.0
nonlinear_interaction,mlp_uniform,0.0005,3,1,0.3333333333333333,3,0.0,0.6666666666666666,61.666666666666664,31.666666666666668,31.666666666666668
nonlinear_interaction,mlp_uniform,0.001,3,1,0.3333333333333333,3,0.0,0.6666666666666666,61.666666666666664,31.666666666666668,31.666666666666668
nonlinear_interaction,mlp_uniform,0.003,3,1,0.3333333333333333,1,1.3333333333333333,0.0,10.0,0.0,0.0
nonlinear_interaction,mlp_uniform,0.01,3,0,0.0,0,2.0,0.0,0.0,0.0,
