task,method,alpha,repeats,cost_mean,cost_sd,n_groups_mean,n_groups_sd,n_features_mean,n_features_sd,test_bce_mean,test_bce_sd,test_auroc_mean,test_auroc_sd,test_ap_mean,test_ap_sd
linear_control,logistic_all,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.4478594035663286,0.02971680260956354,0.8726797834189034,0.01508576016746287,0.8791647197605016,0.018586173611919887
linear_control,logistic_cost_weighted,0.0,3,231.66666666666666,115.90225767142472,5.0,1.0,17.0,3.0,0.4425264448185404,0.024297565453469127,0.8756091153983673,0.013851652265479523,0.8830665923697761,0.015029627044903545
linear_control,logistic_cost_weighted,0.0005,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4467456741754723,0.021202301881880815,0.8765645311905019,0.014784070951133361,0.883734236286022,0.014953346522468327
linear_control,logistic_cost_weighted,0.001,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4467456741754723,0.021202301881880815,0.8765645311905019,0.014784070951133361,0.883734236286022,0.014953346522468327
linear_control,logistic_cost_weighted,0.003,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4467456741754723,0.021202301881880815,0.8765645311905019,0.014784070951133361,0.883734236286022,0.014953346522468327
linear_control,logistic_cost_weighted,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6927411426547966,0.0009780478616053918,0.5206885151904591,0.010628486023976544,0.5214174464246774,0.022816975067822938
linear_control,logistic_free,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6927411426547966,0.0009780478616053918,0.5206885151904591,0.010628486023976544,0.5214174464246774,0.022816975067822938
linear_control,mlp_all,,3,355.0,0.0,6.0,0.0,20.0,0.0,1.0537908884439964,0.08463392964838753,0.770238257617701,0.014421777168542526,0.7838699274680825,0.00941345681985379
linear_control,mlp_cost_weighted,0.0,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4484270573600387,0.02398280412826773,0.8732761814193243,0.014329208320398964,0.8804719947489937,0.015399933148499318
linear_control,mlp_cost_weighted,0.0005,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4484270573600387,0.02398280412826773,0.8732761814193243,0.014329208320398964,0.8804719947489937,0.015399933148499318
linear_control,mlp_cost_weighted,0.001,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4484270573600387,0.02398280412826773,0.8732761814193243,0.014329208320398964,0.8804719947489937,0.015399933148499318
linear_control,mlp_cost_weighted,0.003,3,30.0,0.0,2.0,0.0,8.0,0.0,0.4484270573600387,0.02398280412826773,0.8732761814193243,0.014329208320398964,0.8804719947489937,0.015399933148499318
linear_control,mlp_cost_weighted,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6947275157071141,0.001070510645599756,0.5019328749190052,0.007255057948560509,0.5175459374068593,0.032538963920489834
