task,seed,lambda,lambda_max_fraction,mask_id,selected_groups,cost,objective,kkt_residual,iterations,converged
synthetic_cheap_signal,51966,0.1563074196417814,1.05,0,[],0.0,0.6717046350405175,5.4744451909668915e-08,18,True
synthetic_cheap_signal,51966,0.13628106199661416,0.9154723136264682,1,[0],10.0,0.6707215442653492,8.868666542042341e-08,15,True
synthetic_cheap_signal,51966,0.1188205134566786,0.7981805304919987,1,[0],10.0,0.665995652946799,5.688846480289627e-08,18,True
synthetic_cheap_signal,51966,0.10359703843854327,0.6959163589915349,1,[0],10.0,0.6584931158748504,6.248999582216039e-08,20,True
synthetic_cheap_signal,51966,0.09032401948969845,0.6067544373871318,3,"[0, 1]",30.0,0.649159837406857,7.47283223453075e-08,22,True
synthetic_cheap_signal,51966,0.07875156104597758,0.5290160843789748,3,"[0, 1]",30.0,0.6377625857893507,9.937710557180665e-08,24,True
synthetic_cheap_signal,51966,0.06866178456424489,0.46123769401146186,3,"[0, 1]",30.0,0.6246298266672349,8.506886533312237e-08,27,True
synthetic_cheap_signal,51966,0.059864726450239415,0.4021431798746762,3,"[0, 1]",30.0,0.6104985100912703,8.293744353039077e-08,30,True
synthetic_cheap_signal,51966,0.052194761550491714,0.35061994979902356,3,"[0, 1]",30.0,0.5959196505681575,8.874491311263622e-08,33,True
synthetic_cheap_signal,51966,0.045507484872200445,0.3056979587105792,3,"[0, 1]",30.0,0.5813048831722395,7.303972713792445e-08,37,True
synthetic_cheap_signal,51966,0.03967699282216652,0.26653144526825,3,"[0, 1]",30.0,0.5669591393521368,8.853568806406841e-08,40,True
synthetic_cheap_signal,51966,0.03459351277776147,0.23238300843231538,3,"[0, 1]",30.0,0.553104345647973,8.301225586679608e-08,44,True
synthetic_cheap_signal,51966,0.030161336361070566,0.2026097241685818,3,"[0, 1]",30.0,0.5398971454063666,8.084199217618639e-08,48,True
synthetic_cheap_signal,51966,0.026297017505271796,0.17665104090269723,3,"[0, 1]",30.0,0.5274425353464278,9.958948320218397e-08,51,True
synthetic_cheap_signal,51966,0.022927801387644678,0.15401822582830108,3,"[0, 1]",30.0,0.5158046291288458,9.701690884611988e-08,55,True
synthetic_cheap_signal,51966,0.019990254650204965,0.13428516337112248,3,"[0, 1]",30.0,0.5050153323147254,9.384174575262078e-08,59,True
synthetic_cheap_signal,51966,0.017429071118671816,0.11708033256863788,3,"[0, 1]",30.0,0.4950814412600061,8.943217806700393e-08,63,True
synthetic_cheap_signal,51966,0.015196030534638805,0.10207981232073073,3,"[0, 1]",30.0,0.48599050594887916,9.814791437710457e-08,66,True
synthetic_cheap_signal,51966,0.013249090696651658,0.08900118281887143,3,"[0, 1]",30.0,0.47771568823811356,8.873952509218537e-08,70,True
synthetic_cheap_signal,51966,0.011551595917629148,0.07759820833398522,3,"[0, 1]",30.0,0.4702197796658283,9.043835537958696e-08,73,True
synthetic_cheap_signal,51966,0.0100715868959905,0.06765620125407824,3,"[0, 1]",30.0,0.4634585018626027,8.868500776140836e-08,76,True
synthetic_cheap_signal,51966,0.008781199007202325,0.05898798008880854,3,"[0, 1]",30.0,0.45738318777583975,9.55553431680074e-08,78,True
synthetic_cheap_signal,51966,0.007656137687179006,0.05143034534100341,51,"[0, 1, 4, 5]",260.0,0.4519354088873127,9.916865782269648e-08,80,True
synthetic_cheap_signal,51966,0.006675221030404344,0.04484100689517775,55,"[0, 1, 2, 4, 5]",295.0,0.4470231149783178,9.774152939469323e-08,82,True
